"Barnacles" "Algae" "Mussels" "Rock" "T" "Wave"
58.98 23.01 27.67 11.18 19.9241379310345 1.12758620689655
67.78 34.89 21.14 13.83 18.8225806451613 0.996774193548387
75.9 45.84 13.65 16.56 17.1966666666667 0.816666666666667
72.57 43.44 10.97 17.87 15.9612903225806 0.906451612903226
62.31 35.68 9.13 19.13 14.6866666666667 1.39666666666667
43.06 22.87 6.77 26.67 13.7322580645161 1.36774193548387
26.86 12.13 6.63 34.41 13.1677419354839 1.08709677419355
39.34 11.54 9.95 26.82 13.0433333333333 1.10333333333333
38.23 7.69 3.2 31.55 14.2838709677419 1.6
33.32 0 3.99 42.54 16.5266666666667 1.35
27.94 0 1 43.36 18.2870967741935 1.38064516129032
33.58 0 1.46 38.89 19.7 0.745161290322581
43.32 0 4.18 21.37 19.1428571428571 1.40357142857143
46.7 0 5.31 17.08 19.2032258064516 1.02413793103448
51.02 0 7.33 16.48 18.33 0.93
56.72 0 10.06 17.24 16.7322580645161 0.980645161290323
54.16 1.07 14.99 17.08 14.9766666666667 1.13
43.37 5.57 22.29 16.25 13.4612903225806 1.27741935483871
36.39 11.41 31.72 15.89 13.2774193548387 1.1258064516129
35.18 19.51 47.26 16.35 13.6666666666667 1.27931034482759
37.64 26.26 57.43 14.59 14.9322580645161 1.00645161290323
38.83 27.94 69 17.93 16.0466666666667 0.783333333333333
39.96 29 67.04 23.08 16.9161290322581 0.97741935483871
43.46 32.85 49.08 24.19 19.7935483870968 1.23225806451613
57.26 44.85 49.51 13.15 20.7607142857143 1.65714285714286
59.98 39.96 45 8.93 20.0677419354839 1.02903225806452
57.25 45.95 45 9.33 18.8866666666667 1.15666666666667
66.47 58.79 43.4 12.81 16.9516129032258 0.996
66.2 58.37 44.3 13.29 14.8166666666667 0.952941176470588
58.76 51.53 48.32 12.82 13.5935483870968 1.23548387096774
52.36 44.5 53.72 13.28 13.6064516129032 1.0258064516129
38.94 34.36 48.59 18.68 13.56 0.876666666666667
16.03 14.08 58.26 24.35 13.9870967741935 1.06774193548387
5.08 1.14 68.38 31.99 15.6633333333333 1.01
4.25 0 70.67 35.46 18.2 1.4
3.41 0 78.47 26.68 19.7258064516129 1.85483870967742
5.6 0 81 25.95 20.8678571428571 1.32142857142857
2.25 0 66.39 41.7 20.7741935483871 1.01612903225806
6.05 0 10.07 82.77 20.5066666666667 1.81333333333333
16.85 7.87 0 83.15 18.5032258064516 1.41935483870968
21.91 15.14 0 78.09 15.5433333333333 0.723333333333333
36.83 22.62 0 63.17 13.8806451612903 1.00967741935484
25.15 16.9 0 74.97 13.2161290322581 0.841379310344828
29.95 15.64 0 69.86 13.8266666666667 1.05333333333333
22.8 10.57 0 77.2 14.7064516129032 0.806451612903226
32.02 5.9 0 67.98 15.9533333333333 1.08
51.53 3.27 0 48.47 18.6612903225806 1.51724137931034
